frame,second,behaviours
203,8.12,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
204,8.16,"listening, listening, listening, listening, listening, listening, listening, listening"
205,8.2,"listening, listening, listening, listening, listening, listening, listening, listening"
206,8.24,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
207,8.28,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
208,8.32,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
209,8.36,"listening, listening, listening, listening, listening, listening, listening, listening"
210,8.4,"listening, listening, listening, listening, listening, listening, listening, listening"
211,8.44,"listening, listening, listening, listening, listening, listening, listening, listening"
212,8.48,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
213,8.52,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
214,8.56,"listening, listening, listening, listening, listening, listening, listening, listening"
215,8.6,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
216,8.64,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
217,8.68,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
218,8.72,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
219,8.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
220,8.8,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
221,8.84,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
222,8.88,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
223,8.92,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
224,8.96,"listening, listening, listening, listening, listening, listening, listening"
225,9.0,"listening, listening, listening, listening, listening, listening, listening"
226,9.04,"listening, listening, listening, listening, listening, listening, listening, listening"
227,9.08,"listening, listening, listening, listening, listening, listening, listening"
228,9.12,"listening, listening, listening, listening, listening, listening, listening"
229,9.16,"listening, listening, listening, listening, listening, listening, listening"
230,9.2,"listening, listening, listening, listening, listening, listening, listening"
231,9.24,"listening, listening, listening, listening, listening, listening, listening, listening"
232,9.28,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
233,9.32,"listening, listening, listening, listening, listening, listening, listening, listening"
234,9.36,"listening, listening, listening, listening, listening, listening, listening, listening"
